,product_id,product_name,category,price
0,1,ubaltprv,Электроника,466.47
1,2,tDBDlti,Аксессуары,342.91
2,3,SSoERVQYlXlXo,Книги,44.12
3,4,bSyPlTJrVTVEn,Аксессуары,15.49
4,5,OUlXxH,Аксессуары,451.51
5,6,dheuOSsoAYqmJz,Аксессуары,479.93
6,7,nEGTIy,Телефоны,171.67
7,8,fSIziuZEOFPJii,Телефоны,268.26
8,9,tTmdXGPMNrTeg,Одежда,384.96
9,10,KmAxMHrdShinJDw,Телефоны,371.16
10,11,LblRiqyJT,Телефоны,291.05
11,12,lPBcnnwcIYchcj,Телефоны,113.02
12,13,bCiTAZqqjcKvYWf,Одежда,303.41
13,14,XLQiZXh,Электроника,452.47
14,15,EQPiGonyhkocZ,Аксессуары,172.81
15,16,gBsuy,Книги,316.91
16,17,dZfTIdcndVjrWsy,Аксессуары,289.22
17,18,Elsvcn,Книги,23.29
18,19,oOkDI,Телефоны,398.36
19,20,ZoEVfNBQslG,Книги,496.21
20,21,gFQmmHPKGBlzRy,Одежда,67.24
21,22,YKecC,Аксессуары,332.94
22,23,rnYGyMejKjPU,Аксессуары,314.41
23,24,YQgQAxnvUD,Аксессуары,414.05
24,25,EKxrLfyddUGfwwd,Книги,225.95
25,26,sTDggtLsx,Одежда,435.83
26,27,lPFYVx,Аксессуары,392.31
27,28,BYNGLChRWGbm,Одежда,51.63
28,29,svmFbSAabMqC,Аксессуары,457.47
29,30,ElVUiCfsLOilM,Телефоны,351.11
30,31,WGFkbkDtb,Аксессуары,497.39
31,32,CPvoBAYk,Одежда,191.28
32,33,PAJwPDDXBR,Книги,301.52
33,34,updxJA,Одежда,213.86
34,35,HcAfBIZKwWCiHs,Телефоны,97.95
35,36,QHQRqMyGljKhL,Одежда,166.54
36,37,EraiGUgAxjgN,Книги,256.11
37,38,AbYrwxljXjRrBSa,Телефоны,174.68
38,39,AvkzPDFttb,Аксессуары,250.8
39,40,viTUxb,Электроника,498.23
40,41,PHGqdLsP,Аксессуары,223.44
41,42,TSqNNctcCocmUdT,Электроника,386.72
42,43,sunRXVd,Телефоны,120.82
43,44,eINbRkwCvRAAfm,Одежда,119.63
44,45,Zkuzr,Телефоны,143.97
45,46,icROydWrkoaaidx,Электроника,324.14
46,47,yMOOTYo,Одежда,418.76
47,48,vkzEL,Телефоны,293.0
48,49,IgRHhHkLsPqlI,Телефоны,273.85
49,50,Gcpbslkp,Одежда,95.27
50,51,ejEOVRytcwqLSq,Одежда,334.11
51,52,CyRDwJTgGlzpZ,Телефоны,330.39
52,53,ycjDbiNigN,Электроника,147.21
53,54,SSukq,Книги,245.87
54,55,deRQJdITJ,Электроника,24.31
55,56,oNSGSCs,Электроника,256.69
56,57,lVqIvHFJ,Телефоны,106.81
57,58,GZkpZCDITdmU,Одежда,25.21
58,59,yvGnHTWzrTDkOSu,Электроника,460.26
59,60,pEoqssZzUolT,Электроника,91.72
60,61,QDDwLn,Книги,378.07
61,62,XNtKWqcoz,Телефоны,235.74
62,63,TNRaSJlebb,Телефоны,312.48
63,64,sXNwHwoCZqPYz,Электроника,496.21
64,65,wUylHRQ,Электроника,174.58
65,66,FVYpC,Электроника,313.29
66,67,xeIWm,Книги,321.78
67,68,BjViLkS,Книги,33.58
68,69,poGcCluM,Одежда,100.64
69,70,xbAnMZdcYHKrcXA,Телефоны,357.68
70,71,jpCAa,Электроника,219.26
71,72,qmvhiVubdsrjVjW,Одежда,305.76
72,73,rkLCkfUutkk,Телефоны,326.05
73,74,OosKGkSGJcO,Электроника,356.08
74,75,TIJiEOeS,Книги,182.71
75,76,ImECTUYcqSQd,Аксессуары,339.61
76,77,ZJjQqLqSsNNf,Аксессуары,20.49
77,78,tuUtaZGFqZXtLV,Аксессуары,107.93
78,79,GQdzfWHocgCfAy,Аксессуары,475.29
79,80,aoAXtVPP,Телефоны,430.24
80,81,FpQHCWe,Электроника,123.87
81,82,SLNdhhcrxSJZ,Электроника,149.67
82,83,MeFlPcYo,Книги,38.96
83,84,zsVzDtH,Книги,44.36
84,85,WBGPcViSXF,Телефоны,463.85
85,86,FvqylYvmtcK,Книги,140.26
86,87,VnAYxuQnzvstPBx,Аксессуары,284.09
87,88,ryvEGuC,Электроника,349.66
88,89,rFeLDFAruuJImM,Электроника,438.74
89,90,Spxby,Телефоны,431.18
90,91,dmGBRQdUK,Книги,354.92
91,92,zKfkyZ,Книги,441.16
92,93,yQSIuhlGf,Электроника,278.15
93,94,xVgdSaytGNzh,Телефоны,406.72
94,95,UToniUVWbte,Книги,81.19
95,96,HFvpNNVhmAUgDZ,Телефоны,154.67
96,97,XEQvMgAJbTvjul,Электроника,379.95
97,98,jgwNeIfv,Электроника,435.14
98,99,JQKpoVuMNj,Телефоны,267.35
99,100,TBvydjC,Книги,354.08
