Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,22.791668,23,21.833332,22.270832,14.469358,25109700
1/4/2000,21.833332,21.9375,21.395832,21.4375,13.927947,20235300
1/5/2000,21.291668,21.458332,20.729168,21,13.643703,21056100
1/6/2000,21,21.520832,20.895832,21.229168,13.792585,19633500
1/7/2000,21.5,22.979168,21.5,22.833332,14.834813,23930700
1/10/2000,22.416668,22.5,21.875,22.416668,14.564112,20142900
1/11/2000,22.354168,22.583332,21.875,22.083332,14.347544,14829900
1/12/2000,22.0625,22.25,21.6875,21.6875,14.090372,12255000
1/13/2000,22,22.041668,21.666668,21.708332,14.103909,15063000
1/14/2000,21.333332,21.979168,21.333332,21.5,13.968553,18936600
1/18/2000,21.0625,22.145832,21.020832,21.854168,14.198661,19326600
1/19/2000,21.75,21.9375,21.333332,21.354168,13.873807,14459700
1/20/2000,21.479168,21.5,20.833332,21.125,13.724912,17214300
1/21/2000,21.3125,21.3125,20.6875,20.8125,13.521886,20857500
1/24/2000,21.145832,21.145832,19.166668,19.791668,12.85865,23399700
1/25/2000,19.9375,20.395832,19.833332,20.375,13.237644,19211400
1/26/2000,20.375,20.6875,20,20.645832,13.413597,13615200
1/27/2000,20.4375,20.5,19.291668,19.708332,12.8045,21969900
1/28/2000,19.625,19.625,17.833332,18.375,11.938237,42088200
1/31/2000,18.1875,18.5,18.041668,18.25,11.857027,23918100
2/1/2000,18.333332,19.833332,18.3125,19.5625,12.709762,25077000
2/2/2000,19.625,20.041668,19.3125,19.458332,12.642082,18103800
2/3/2000,19.458332,19.604168,18.75,19.458332,12.642082,20997000
2/4/2000,19.3125,19.3125,18.666668,18.770832,12.19541,19649100
2/7/2000,18.875,18.875,18.208332,18.583332,12.073594,18131100
2/8/2000,19.104168,19.895832,18.958332,19.833332,12.885718,25728300
2/9/2000,20,20.041668,19.104168,19.270832,12.520261,24649800
2/10/2000,19.208332,19.458332,18.9375,19,12.344304,13774800
2/11/2000,19.145832,19.166668,18.541668,18.6875,12.14127,14450100
2/14/2000,18.895832,19.625,18.833332,19.625,12.750362,17410800
2/15/2000,18.979168,19.333332,18.333332,19.333332,12.560867,29136300
2/16/2000,18.833332,18.833332,17.5625,17.583332,11.423898,40757400
2/17/2000,17.645832,17.833332,16,16.125,10.476415,74300100
2/18/2000,16.166668,16.5,15.75,15.916667,10.341059,58183200
2/22/2000,16.416668,16.4375,15.583333,16.041668,10.422273,37027800
2/23/2000,16.145832,16.166668,15.583333,15.666667,10.178636,38623200
2/24/2000,15.666667,15.958333,14.479167,15.958333,10.368127,58295700
2/25/2000,14.770833,15.104167,14.541667,14.833333,9.637218,50725500
2/28/2000,14.854167,15.645833,14.854167,15.395833,10.002675,53508300
2/29/2000,15.979167,16.583332,15.979167,16.25,10.557627,51591600
3/1/2000,16.625,16.666668,15.833333,16.333332,10.611769,30497400
3/2/2000,17.583332,17.625,16.8125,16.854168,10.950156,46628100
3/3/2000,17.375,17.770832,17.166668,17.541668,11.396826,32372400
3/6/2000,17.541668,17.5625,16.208332,16.833332,10.936622,31480800
3/7/2000,16.541668,16.541668,15.708333,15.854167,10.300456,29174100
3/8/2000,15.770833,16.4375,15.208333,16.104168,10.462882,30056100
3/9/2000,16.333332,16.479168,15.625,16.3125,10.59823,23834700
3/10/2000,16.583332,16.583332,15.8125,15.979167,10.381665,21016500
3/13/2000,15.416667,15.979167,15.291667,15.895833,10.327525,23183700
3/14/2000,15.666667,16.270832,15.4375,15.916667,10.341059,29955000
3/15/2000,15.8125,17.3125,15.520833,17.166668,11.167218,44010000
3/16/2000,17.4375,18.520832,17.208332,18.208332,11.844833,59148000
3/17/2000,18.1875,18.75,18.041668,18.583332,12.088784,37911900
3/20/2000,18.604168,18.604168,17.791668,18.375,11.953257,20307300
3/21/2000,18.479168,18.875,18.166668,18.875,12.27852,23563800
3/22/2000,18.833332,18.833332,18,18.458332,12.007463,29890500
3/23/2000,18.125,18.1875,17.833332,18,11.709317,21076500
3/24/2000,18.145832,18.5625,18,18.5,12.034576,23858700
3/27/2000,18.229168,18.5,18.083332,18.479168,12.021021,17324700
3/28/2000,18.1875,18.645832,18.166668,18.166668,11.817737,17392800
3/29/2000,18.5,19.791668,18.479168,19.583332,12.739295,40790100
3/30/2000,19.916668,20.25,19.625,19.666668,12.793511,34712400
3/31/2000,19.75,19.770832,18.5,18.833332,12.25141,27162000
4/3/2000,18.875,20.666668,18.875,20.395832,13.267849,35807100
4/4/2000,20.5625,21.104168,19.166668,20,13.010353,41027400
4/5/2000,19.770832,20.041668,19.1875,19.416668,12.630878,21198000
4/6/2000,19.708332,20.416668,19.583332,20.375,13.254298,21762600
4/7/2000,20.416668,20.666668,20.208332,20.5,13.335608,12039300
4/10/2000,20.5,21.229168,20.333332,21.1875,13.78284,16563000
4/11/2000,20.958332,21.166668,20.5,21.125,13.742179,16066200
4/12/2000,21.145832,21.645832,20.6875,20.8125,13.538898,21729900
4/13/2000,20.770832,20.770832,19.833332,20.020832,13.023902,23653500
4/14/2000,19.333332,19.645832,18.333332,18.333332,11.92615,28118100
4/17/2000,18.375,18.791668,17.25,18,11.709317,28981500
4/18/2000,18,18.770832,17.708332,17.958332,11.682211,22983600
4/19/2000,18.041668,18.5,17.916668,18.3125,11.912599,18765900
4/20/2000,18.375,19.3125,18.375,19.229168,12.508912,18271200
4/24/2000,19.3125,20.208332,19.166668,19.625,12.766404,16901100
4/25/2000,19.354168,20.25,19.1875,19.895832,12.94259,18114900
4/26/2000,20.0625,20.25,19.4375,19.583332,12.739295,15606000
4/27/2000,19.208332,19.479168,18.833332,19.229168,12.508912,16545000
4/28/2000,18.9375,19.104168,18.458332,18.458332,12.007463,15037800
5/1/2000,18.791668,19.604168,18.729168,19.3125,12.563114,15327000
5/2/2000,19.104168,19.270832,18.895832,19.208332,12.495352,14464500
5/3/2000,18.083332,18.166668,17.583332,17.8125,11.587338,31371900
5/4/2000,17.979168,17.979168,16.8125,17,11.058797,32300700
5/5/2000,16.729168,17.625,16.729168,17.104168,11.126566,25920000
5/8/2000,17.083332,17.458332,16.5,17.458332,11.356953,22878300
5/9/2000,18.125,18.291668,17.5,17.666668,11.492479,26664600
5/10/2000,17.8125,19.041668,17.666668,18.895832,12.292073,33735900
5/11/2000,18.979168,19.020832,18.333332,18.666668,12.142992,18315900
5/12/2000,18.583332,19.0625,18.4375,18.9375,12.319179,13113000
5/15/2000,18.75,19.104168,18.5,19,12.359835,12816900
5/16/2000,19.145832,19.6875,19.0625,19.333332,12.576671,19136100
5/17/2000,18.895832,18.916668,18.479168,18.791668,12.224312,13776900
5/18/2000,18.75,19.3125,18.729168,19.3125,12.563114,14663700
5/19/2000,18.708332,19.583332,18.708332,19.020832,12.373387,19073100
5/22/2000,19.229168,19.229168,18.729168,19.125,12.441149,13884300
5/23/2000,19.1875,19.458332,18.9375,19.0625,12.400489,12873000
5/24/2000,18.416668,19,17.583332,18.958332,12.33273,31024500
5/25/2000,18.604168,18.895832,18.020832,18.333332,11.92615,13857600
5/26/2000,18.083332,18.333332,17.708332,18,11.709317,11989200
5/30/2000,17.6875,18.041668,17.5625,17.791668,11.573792,13058100
5/31/2000,18.291668,20,18.166668,19.208332,12.495352,22976700
6/1/2000,19.041668,19.229168,18.75,19,12.359835,14359200
6/2/2000,19.625,20.020832,19.354168,19.6875,12.807062,21264300
6/5/2000,19.770832,19.916668,19.583332,19.770832,12.861273,13081200
6/6/2000,19.604168,19.604168,19.25,19.416668,12.630878,13320300
6/7/2000,19.25,19.6875,19.25,19.291668,12.54957,10273800
6/8/2000,19.270832,19.333332,18.770832,18.958332,12.33273,11979300
6/9/2000,19.145832,19.333332,17.979168,18,11.709317,21849300
6/12/2000,18,18.125,17.270832,17.583332,11.438271,24267600
6/13/2000,17.354168,18.333332,17.208332,18.333332,11.92615,23135100
6/14/2000,18.3125,18.5625,18.041668,18.375,11.966312,20060400
6/15/2000,18.354168,18.729168,18.270832,18.5,12.047718,17046900
6/16/2000,18.25,18.708332,17.75,17.958332,11.694965,28709100
6/19/2000,17.895832,18.333332,17.604168,18.125,11.803501,18005100
6/20/2000,18.083332,18.229168,17.708332,18.166668,11.830637,18191400
6/21/2000,18.1875,18.1875,17.791668,17.979168,11.708538,12861900
6/22/2000,17.6875,17.8125,17.291668,17.5,11.396492,17003400
6/23/2000,17.895832,18.145832,17.625,17.916668,11.667832,18808800
6/26/2000,18.0625,18.229168,17.916668,17.916668,11.667832,11774100
6/27/2000,18.041668,19.145832,17.916668,18.9375,12.332626,19663200
6/28/2000,18.833332,19.0625,18.5625,18.661457,12.152865,14472300
6/29/2000,18.4375,18.458332,17.854168,18.041668,11.749233,15872700
6/30/2000,18.041668,19.244793,18.020832,19.208332,12.509004,22866600
7/3/2000,19.083332,19.125,18.708332,18.958332,12.346198,7731900
7/5/2000,19.104168,19.3125,18.854168,19,12.373333,15419400
7/6/2000,19.3125,19.479168,18.9375,19.166668,12.481869,17273400
7/7/2000,19.3125,20.6875,19.104168,20.520832,13.363733,31540200
7/10/2000,20.458332,20.979168,20.229168,20.416668,13.295902,24701100
7/11/2000,20.354168,20.916668,20.270832,20.666668,13.458712,17692800
7/12/2000,20.6875,20.729168,20.208332,20.333332,13.241634,17500800
7/13/2000,20.166668,20.395832,19.708332,19.708332,12.834615,12907800
7/14/2000,19.9375,20.3125,19.791668,19.833332,12.91602,12552300
7/17/2000,20.104168,20.416668,19.875,20.239582,13.180585,13832100
7/18/2000,20.3125,20.375,19.916668,20.020832,13.038124,10776300
7/19/2000,20.0625,20.166668,19.791668,20,13.024561,11209200
7/20/2000,19.979168,20.270832,19.854168,20,13.024561,14960400
7/21/2000,20.104168,20.166668,19.75,19.895832,12.956721,11733000
7/24/2000,19.666668,19.729168,19.0625,19.145832,12.468297,15137400
7/25/2000,19.166668,19.770832,19.104168,19.729168,12.848181,12366000
7/26/2000,19.395832,20.041668,19.395832,19.583332,12.753207,21966300
