Id,URL,Label
1,nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,Malicious
2,www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,Malicious
3,serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,Malicious
4,mail.printakid.com/www.online.americanexpress.com/index.html,Malicious
5,thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,Malicious
6,smilesvoegol.servebbs.org/voegol.php,Malicious
7,premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,Malicious
8,myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,Malicious
9,super1000.info/docs,Malicious
10,horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,Malicious
11,phlebolog.com.ua/libraries/joomla/results.php,Malicious
12,docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,Malicious
13,www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,Malicious
14,www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,Malicious
15,perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,Malicious
16,lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,Malicious
17,anonymeidentity.net/remax./remax.htm,Malicious
18,dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,Malicious
19,www.avedeoiro.com/site/plugins/chase/,Malicious
20,asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,Malicious
21,www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,Malicious
22,optimistic-pessimism.com/aoluserupdatealert.info.htm,Malicious
23,mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/,Malicious
24,www.everythinggoingon.net/~gpeveryt/home/Email/,Malicious
25,mercadolivre.com.br.premiosfidelidade2012.com.br/,Malicious
26,www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/,Malicious
27,jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,Malicious
28,xini.eu/00Qe,Malicious
29,myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,Malicious
30,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/,Malicious
31,ebayisapidlld.altervista.org/,Malicious
32,horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,Malicious
33,www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php,Malicious
34,sontemeda.altervista.org/paypinoko/paypinoko/procesing.php,Malicious
35,promusic.co/components/interbank.com/,Malicious
36,uvb.lg.ua/templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/,Malicious
37,docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ,Malicious
38,remax.com.behinehsazerooyesh.com/remax/index.htm,Malicious
39,www.aclaydance.com/ncpf.php,Malicious
40,phamxuanlinh.tk/secure-code8/security/login.php,Malicious
41,stthomasedu.ucoz.ua/microsoft.htm,Malicious
42,www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/,Malicious
43,paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/,Malicious
44,tinyurl.com/bswqloj,Malicious
45,users11.jabry.com/blopp/Aolupdate.htm,Malicious
46,tad.ly/BUpQLx,Malicious
47,professionalcrapsplayer.com/upgrade/logins/Trulia/index.htm,Malicious
48,westerncentermuseum.org/plugins/tmp/sp.php,Malicious
49,cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php,Malicious
50,portalsalinas.com.br/modules/mod_acepolls/spam.php,Malicious
51,trigononline.com/Support.php,Malicious
52,docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ,Malicious
53,nextgensmartphones.com//indexer/Trulia/index.htm,Malicious
54,lunatic-photography.opidum.de//wp-content/plugins/formulario.php,Malicious
55,users11.jabry.com/reaseo/Aolupdate.htm,Malicious
56,tinyurl.com/c5br4qc,Malicious
57,www.allandmedia.com/opencart/system/Cielo/index.html,Malicious
58,www.hoskoyu.net/images/AolMail.htm,Malicious
59,www.russel.sk/menuonlineprivado/,Malicious
60,www.bpoaccess.com/components/com_newsfeeds/cadastro.php,Malicious
